saved_as,original_filename,artifact_id,version_id,content_type,size_bytes
gate_calibration_stratified.csv,gate_calibration_stratified.csv,2be5ecdc-106f-4138-82f9-54b25d4852a5,4f3fa0d5-0add-48ef-95c0-933bd97d9d4d,text/csv,163
gate_calibration_summary.csv,gate_calibration_summary.csv,5d737497-6e2f-4884-98ed-2340eb61530d,160e85cd-4930-4c13-bda8-b21086acf7c7,text/csv,313
fig10_multiseed_calibration.png,fig10_multiseed_calibration.png,c09e3c2b-d1e7-4cba-90e2-751044ba65c2,927d020c-e55d-4d50-9d46-0a6d8f44b520,image/png,234094
gate_calibration_multiseed.csv,gate_calibration_multiseed.csv,6c58c9cd-f10e-4da5-ad95-9fe1466150c1,9918c3c2-9bf9-42fa-a03f-bcb542ba2beb,text/csv,2527
published_binder_options.csv,published_binder_options.csv,d036befa-b7e8-4658-b4f3-bc98b4451ca3,f4bc5920-de65-4664-afb8-49e00657af2d,text/csv,1064
sandwich_partner_finding.md,sandwich_partner_finding.md,6f660d29-b4bc-475a-94af-583ff71c28da,27190a75-aa78-41d0-899f-9a86cd8fdc35,text/markdown,8103
fig9_published_antibodies.png,fig9_published_antibodies.png,170a746d-b504-424f-81ee-d1140fbe3249,9ae0fa45-a5f2-4c48-8982-22128626bb00,image/png,174330
epitope_conservation_all.csv,epitope_conservation_all.csv,1f5860ea-e706-49e3-83fb-f200444de1ea,4c29f997-26a3-4f0f-9e2f-82a5ca357660,text/csv,1531
sandwich_pair.csv,sandwich_pair.csv,d0f2f44f-3bc2-489c-9df1-f995273adf3f,1739d255-face-4baf-b22c-1ee6a26b4df8,text/csv,1047
switch_geometry_addendum.md,switch_geometry_addendum.md,e2e9a1f0-0c1d-4655-9f26-abb2b2a65740,8a4063c4-98a4-4094-b8b4-65014173c2de,text/markdown,5015
ns1_dimer.pdb,ns1_dimer.pdb,b090f310-2e4f-410e-85e6-62750d32867a,a98f4c16-2471-42a7-8848-b83f3283dc5e,chemical/x-pdb,448263
fig8_switch_geometry.png,fig8_switch_geometry.png,4034a2f4-13ea-46a1-9cb1-3070eba5533d,e3c32c53-3ac7-4688-8f9d-88b8ac79739d,image/png,175764
switch_geometry.csv,switch_geometry.csv,0cacbdf5-f158-4325-9bdd-42c311168a31,df8fc56b-06fd-4693-a0d2-62fe60f8df41,text/csv,1076
gate_calibration_finding.md,gate_calibration_finding.md,bc4dcdc6-033c-41d0-a274-05539f679ed0,32ff1047-cdbf-4871-96f5-6070c6bc2323,text/markdown,7899
pred_2b7.pdb,pred_2b7.pdb,6355b6ee-648e-43d4-91e3-25aced223a1e,1f35d9c4-c9f1-4d38-bd84-2f339847d020,chemical/x-pdb,491750
fig7_gate_calibration.png,fig7_gate_calibration.png,e310dc8f-e02a-43c3-8781-e34ec00524ef,a2684ba5-80ab-4b3a-b786-682dd7214d32,image/png,164825
gate_calibration.csv,gate_calibration.csv,256d43d9-4b03-440c-87e2-94f9c52de9a9,e3d0bd48-2af8-410d-a17e-e6fbccf4b0b0,text/csv,491
README_for_advisor.md,README_for_advisor.md,d0513a1e-2dbc-4140-ab3c-006d9ba97bee,03b8ad14-9975-4630-9ccb-5936ccb5e0db,text/markdown,3408
for_advisor_review.tar.gz,for_advisor_review.tar.gz,7cb12244-efb4-42e0-bbaa-359a68f7a0b5,36924f9a-95e1-455c-8d8f-ef337d2efa86,application/gzip,564367
rank9_seed5_pd_2_dldesign_0_RF2_complex_NOTGATEPASS.pdb,rank9_seed5_pd_2_dldesign_0_RF2_complex_NOTGATEPASS.pdb,16412515-2e5e-43b9-a2b0-1fd606a2817f,679d6063-dfe3-4cd6-bb66-de7e6c4236c3,chemical/x-pdb,176018
rank4_onepi_pd_28_dldesign_0_RF2_complex_NOTGATEPASS.pdb,rank4_onepi_pd_28_dldesign_0_RF2_complex_NOTGATEPASS.pdb,e6dc8d56-0f56-4ce7-bb13-450ca59c9ea3,c7324ba3-7238-4d4f-8ae7-373c30c193e5,chemical/x-pdb,173204
rank1_onepi_pd_30_dldesign_1_RF2_complex_NOTGATEPASS.pdb,rank1_onepi_pd_30_dldesign_1_RF2_complex_NOTGATEPASS.pdb,654d5379-9755-46f8-bfb2-d9c0704a4a3c,56a4e94e-2522-4063-8948-5bb6dfb945d6,chemical/x-pdb,171931
target_NS1_betaladder_epitope_crop.pdb,target_NS1_betaladder_epitope_crop.pdb,04083cbb-fb3c-4d77-8915-15889e40549b,0d90a66f-01c9-4420-a7a3-07f28f36604b,chemical/x-pdb,97773
target_NS1_monomer_9W22.pdb,target_NS1_monomer_9W22.pdb,6337b852-f0d2-4a7b-8116-00152a61ab50,3e4b960d-86bc-4a29-9f1d-586f328ddaf7,chemical/x-pdb,224127
2b7_reference_interface.csv,2b7_reference_interface.csv,a6634a4d-144b-4f2d-89c3-9d3e8304c29f,dfcfea3f-9168-42a3-be9a-567c8c5ec06d,text/csv,606
citations_verified.csv,citations_verified.csv,44db022c-5db4-4c80-9f59-d14598b47bf9,9365b78d-4df2-4e4c-a119-95d2bdc85d37,text/csv,1682
mimicry_analysis.md,mimicry_analysis.md,c26a5771-6712-4da7-b779-18576a7b6e5e,8d26d280-c7b2-4da3-ae04-3846806a9190,text/markdown,11434
mimicry_method_validation.csv,mimicry_method_validation.csv,5b6238f3-e02f-4c9d-8d8b-443cfc065b14,95a5264f-ea9b-47ff-bc86-1b41923196f5,text/csv,528
denv_zika_specificity.csv,denv_zika_specificity.csv,33e16f02-10ef-4061-92d4-ac73bfc5e386,d8c174fb-9891-44b5-be4f-de83d7d94609,text/csv,1320
fig6_specificity_annotated.png,fig6_specificity_annotated.png,12226915-c804-4182-b01c-3be22e0d21ea,3486ef06-67d3-4e23-865b-27d5a13f0fd4,image/png,688148
epitope_tip_entanglement.csv,epitope_tip_entanglement.csv,89c07ddc-72c8-4868-8910-a1be551d32e1,b44c6d69-46d9-48a7-816f-4e84c74a8bba,text/csv,644
burial_decomposition.csv,burial_decomposition.csv,30eddda2-acc5-470e-a32d-6c21607a03b8,e69c53d0-da1d-44db-8c38-b0f163dcb27d,text/csv,588
fig5_entanglement_annotated.png,fig5_entanglement_annotated.png,79a53008-bb40-4019-9ce7-263bb9b92ad8,6fc1bcc3-d7a6-4664-87e2-c49e86a4059b,image/png,415962
seed4_offepi_complex.pdb,seed4_offepi_complex.pdb,98c92c48-db2f-46b8-bca0-fb6977531b6d,d404e1cc-69df-4b85-bfee-190ab677cce6,chemical/x-pdb,296621
